Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Belarus,BLR,Bovine tuberculosis (-2018),2005,102.0,102.0,71.85315859065159,139.81651067853267,1.8672427049390398e-05,1.315365551031589e-05,2.559523133279623e-05,None,2005
Belarus,BLR,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,883.0,883.0,730.129969303943,1061.4383677078397,0.00016164463808442868,0.0001336597900823679,0.00019431010282792803,None,2005
Belarus,BLR,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,2005,168.0,168.0,120.8480942196862,227.9217545952098,3.0754585728407715e-05,2.2122815915440672e-05,4.172404250635408e-05,None,2005
Belarus,BLR,Rabies virus (Inf. with),2005,59.0,59.0,25.60060635919261,120.08183848128633,1.080071760700033e-05,4.686524065315529e-06,2.1982542833318623e-05,None,2005
Belize,BLZ,Rabies virus (Inf. with),2005,8.0,8.0,2.182217507547462,21.316862340770918,0.00012175818823815902,3.321285625757126e-05,0.0003244378171918136,None,2005
Belize,BLZ,Vesicular stomatitis (-2014),2005,19.0,19.0,11.685717453242983,28.86758260125732,0.0005783513941312554,0.00035570794634247484,0.0008787161390861231,None,2005
Bolivia,BOL,Bovine tuberculosis (-2018),2005,7.0,7.0,3.0076008486546058,13.536296901133463,1.6933762499384639e-06,7.275714066294968e-07,3.274577669213576e-06,None,2005
Bolivia,BOL,Vesicular stomatitis (-2014),2005,41.0,41.0,29.696406812782314,54.86156597438832,9.918346606782432e-06,7.1838842864680525e-06,1.3271610407923047e-05,None,2005
Brazil,BRA,Bovine anaplasmosis,2005,5701.0,5701.0,5183.947220477428,6291.774942583133,2.311965768015319e-05,2.1022817956397082e-05,2.5515467965810832e-05,None,2005
Brazil,BRA,Bovine babesiosis,2005,6466.0,6466.0,5824.605433755587,7201.669748378181,2.622201483246282e-05,2.362092330299761e-05,2.9205426996670497e-05,None,2005
Brazil,BRA,Bovine cysticercosis (-2014),2005,59537.0,59537.0,58863.65260514956,60215.465302244455,0.00024144449382622004,0.0002387138217917059,0.00024419592086283705,None,2005
Brazil,BRA,Bovine tuberculosis (-2018),2005,4258.0,4258.0,4081.4969612415553,4439.620767340735,1.7267760463443657e-05,1.6551975542271575e-05,1.80042996615711e-05,None,2005
Brazil,BRA,Brucella abortus (Inf. with),2005,41806.0,41806.0,41242.494765812575,42374.62312838334,0.000169538749162688,0.00016725352760236741,0.0001718447256715883,None,2005
Brazil,BRA,Dermatophilosis (-2005),2005,47.0,47.0,30.47589450086236,68.6335836844663,1.9060233484778108e-07,1.235909925199791e-07,2.783344957282947e-07,None,2005
Brazil,BRA,Echinococcosis/hydatidosis,2005,126067.0,126067.0,125087.23138218428,127051.8865464436,0.000511248181856494,0.0005072748587465736,0.0005152422600546284,None,2005
Brazil,BRA,Enzootic bovine leukosis,2005,54.0,54.0,27.165495835896746,103.39653349201369,2.1898991663362082e-07,1.1016610497062967e-07,4.193110786966937e-07,None,2005
Brazil,BRA,Foot and mouth disease virus (Inf. with),2005,659.0,659.0,609.9571022949317,710.6016858899222,5.344976113390967e-06,4.947202036357482e-06,5.7635038501016475e-06,None,2005
Brazil,BRA,Leptospirosis,2005,1119.0,1119.0,963.9197285899278,1309.5074211804022,4.537957716907809e-06,3.909050018618717e-06,5.310535573988964e-06,None,2005
Brazil,BRA,Rabies virus (Inf. with),2005,1925.0,1925.0,1484.355905145003,2495.380557642223,7.806584991105927e-06,6.019610665228277e-06,1.0119688523837566e-05,None,2005
Brazil,BRA,Vesicular stomatitis (-2014),2005,3.0,3.0,0.38949910117041475,10.570564023308,2.43322129592912e-08,3.1591250257103472e-09,8.573507163831742e-08,None,2005
Barbados,BRB,Bovine anaplasmosis,2005,1.0,1.0,0.05703107824502202,4.398728747398599,0.00014336917562724014,8.176498673121437e-06,0.0006306421143223798,None,2005
Bhutan,BTN,Anthrax,2005,27.0,27.0,18.053446095845455,38.50219202691591,0.00013833738952222365,9.249876313997928e-05,0.00019727010132914515,None,2005
Bhutan,BTN,Foot and mouth disease virus (Inf. with),2005,937.0,937.0000000000001,847.3364652742645,1041.9628294108566,0.0024004098885615473,0.0021707095306116677,0.002669304033331258,None,2005
Bhutan,BTN,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,20.0,20.0,10.62586226056045,34.458682250507934,5.1236070193416165e-05,2.7221371232382348e-05,8.827637312798242e-05,None,2005
Bhutan,BTN,Rabies virus (Inf. with),2005,31.0,31.0,17.379846885326593,52.222674975333746,7.941590879979506e-05,4.452375274837093e-05,0.0001337842320362079,None,2005
Botswana,BWA,Bovine anaplasmosis,2005,8.0,8.0,0.8930603588308735,29.938585541413193,6.956521739130435e-06,7.765742250703248e-07,2.6033552644707123e-05,None,2005
Botswana,BWA,Bovine babesiosis,2005,7.0,7.0,1.4126622034359932,22.48714682954555,3.0434782608695654e-06,6.142009580156491e-07,9.777020360671978e-06,None,2005
Botswana,BWA,Brucella abortus (Inf. with),2005,41.0,41.0,18.870695736735964,83.16487384742129,1.7826086956521738e-05,8.204650320319986e-06,3.6158640803226645e-05,None,2005
Botswana,BWA,Dermatophilosis (-2005),2005,6.0,6.000000000000001,2.384570683670994,12.157136705114747,5.2173913043478265e-06,2.0735397249312994e-06,1.057142322183891e-05,None,2005
Botswana,BWA,Foot and mouth disease virus (Inf. with),2005,123.0,123.0,102.52354283980617,146.03510293538815,0.00010695652173913044,8.915090681722275e-05,0.0001269870460307723,None,2005
Botswana,BWA,Heartwater,2005,60.0,60.0,23.624486184545987,129.08280412771558,2.6086956521739128e-05,1.0271515732411298e-05,5.612295831639807e-05,None,2005
Botswana,BWA,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,2005,1.0,1.0,0.05703107824502195,4.398728747398593,8.695652173913044e-07,4.9592241952193e-08,3.824981519477037e-06,None,2005
Botswana,BWA,Lumpy skin disease virus (Inf. with),2005,77.0,77.0,48.54977239134817,123.01269640541737,3.347826086956522e-05,2.1108596691890507e-05,5.348378104583364e-05,None,2005
Botswana,BWA,Rabies virus (Inf. with),2005,8.0,8.0,1.2495474791761567,27.144464616962864,3.4782608695652175e-06,5.432815126852855e-07,1.1801941137809941e-05,None,2005
Canada,CAN,Anthrax,2005,27.0,27.0,18.05344609584545,38.502192026915914,2.7835912450900542e-06,1.8612375739296526e-06,3.969420912699971e-06,None,2005
Canada,CAN,Bovine cysticercosis (-2014),2005,10.0,10.0,5.010507715435303,17.53745804461532,1.0309597204037238e-06,5.16563163338588e-07,1.8080412842268648e-06,None,2005
Canada,CAN,Bovine spongiform encephalopathy,2005,1.0,1.0,0.05703107824502199,4.3987287473985965,1.0309597204037239e-07,5.879674448181076e-09,4.5349121595498796e-07,None,2005
Canada,CAN,Rabies virus (Inf. with),2005,16.0,16.0,5.7354021279164975,36.34257758004493,8.247677763229791e-07,2.9564842870998576e-07,1.8733866810336882e-06,None,2005
Switzerland,CHE,Bovine spongiform encephalopathy,2005,3.0,3.0,0.17109323473506588,13.196186242195783,1.3775717542687504e-06,7.856440250583327e-08,6.059564477106265e-06,None,2005
Switzerland,CHE,"Chlamydia abortus (Inf. with) (Enzootic abortion of ewes, ovine chlamydiosis)",2005,4.0,4.0,0.6649360458507855,12.343670551818807,1.8367623390250006e-06,3.0533237171973096e-07,5.668097298728183e-06,None,2005
Switzerland,CHE,Enzootic bovine leukosis,2005,1.0,1.0,0.05703107824502198,4.398728747398595,9.183811695125003e-07,5.23762683372222e-08,4.039709651404177e-06,None,2005
Switzerland,CHE,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,2005,2.0,2.0,0.11406215649004396,8.79745749479719,1.8367623390250006e-06,1.047525366744444e-07,8.079419302808354e-06,None,2005
Switzerland,CHE,Leptospirosis,2005,8.0,8.0,1.60603459952144,24.35034369251253,3.6735246780500012e-06,7.3747596689302e-07,1.1181448559180497e-05,None,2005
Switzerland,CHE,Malignant catarrhal fever (wildebeest only)(2006-2008),2005,30.0,30.0,5.243644737874767,101.73957501906949,1.3775717542687505e-05,2.407832293438748e-06,4.67178549458589e-05,None,2005
Switzerland,CHE,Paratuberculosis,2005,24.0,24.0,5.395576627835732,72.40381151739248,1.1020574034150003e-05,2.477597986833046e-06,3.3247148549252775e-05,None,2005
Switzerland,CHE,Q fever,2005,29.0,29.0,6.642181129693032,86.17223325722485,1.3316526957931256e-05,3.0500270370006736e-06,3.956947817913707e-05,None,2005
Chile,CHL,Anthrax,2005,5.0,5.0,0.5035612576604586,19.368021518105188,1.0310766502381786e-06,1.03842050947654e-07,3.993982949725772e-06,None,2005
Chile,CHL,Enzootic bovine leukosis,2005,3.0,3.0,0.7459862215156983,7.776443098857677,1.2372919802858145e-06,3.0766758976169686e-07,3.2072435604551904e-06,None,2005
Chile,CHL,Infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,2005,15.0,15.0,5.87055609344105,34.11135863827018,3.0932299507145357e-06,1.2105986623721053e-06,7.034285079964158e-06,None,2005
Chile,CHL,Leptospirosis,2005,32.0,32.0,12.958343166166966,68.58421459817406,6.598890561524344e-06,2.6722090128816458e-06,1.4143116449420341e-05,None,2005
Chile,CHL,Paratuberculosis,2005,1.0,1.0,0.057031078245021946,4.398728747398592,4.1243066009527147e-07,2.3521365246539477e-08,1.814170600869648e-06,None,2005
China (People's Rep. of),CHN,Anthrax,2005,117.0,117.0,71.54786695080404,187.74155342716682,9.086333165518337e-07,5.556476550403283e-07,1.4580190627788023e-06,None,2005
China (People's Rep. of),CHN,Bovine tuberculosis (-2018),2005,1373.0,1373.0,1148.5691854370784,1650.7144079308446,1.0662850800219383e-05,8.919899386777187e-06,1.2819607753488034e-05,None,2005
China (People's Rep. of),CHN,Brucella abortus (Inf. with),2005,1679.0,1679.0,1466.5263959625715,1929.7561832294664,1.3039276397354948e-05,1.1389185837386999e-05,1.498667317012135e-05,None,2005
China (People's Rep. of),CHN,Echinococcosis/hydatidosis,2005,14832.0,14832.0,14496.763361468606,15174.810238809208,0.00011518674659057092,0.00011258326643075496,0.00011784904406268322,None,2005
China (People's Rep. of),CHN,Foot and mouth disease virus (Inf. with),2005,612.0,612.0,501.56769623385577,742.862027857102,4.752851194271131e-06,3.895223241916505e-06,5.769138359933499e-06,None,2005
China (People's Rep. of),CHN,Haemorrhagic septicaemia (Pasteurella multocida serotypes 6:b and 6:e),2005,2893.0,2893.0,2531.0415688863127,3305.785523344195,2.2467317818670558e-05,1.9656313633057496e-05,2.567305011867757e-05,None,2005
China (People's Rep. of),CHN,Trypanosomosis (tsetse-transmitted) (-2021),2005,295.0,295.0,223.38216423913974,391.95358772223943,2.2909985331862475e-06,1.734807493599453e-06,3.0439494730465686e-06,None,2005
Cote D'Ivoire,CIV,Bovine babesiosis,2005,8.0,8.0,3.6558454494130728,14.889849014167847,9.28895380835495e-06,4.244872438760334e-06,1.7288889963248076e-05,None,2005
Cote D'Ivoire,CIV,Brucella abortus (Inf. with),2005,54.0,54.0,37.81951352864133,75.28294582796633,3.135021910319795e-05,2.1956482138875276e-05,4.37062378970542e-05,None,2005
Cote D'Ivoire,CIV,Foot and mouth disease virus (Inf. with),2005,105.0,105.0,70.49712116701784,149.72195964556062,0.00012191751873465872,8.185556276780383e-05,0.00017384504590549954,None,2005
Cote D'Ivoire,CIV,Lumpy skin disease virus (Inf. with),2005,1.0,1.0,0.05703107824502198,4.398728747398595,1.1611192260443687e-06,6.621988143233575e-08,5.107448518758572e-06,None,2005
Cote D'Ivoire,CIV,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia),2005,84.0,84.0,55.30769299207326,122.89550967058527,9.753401498772697e-05,6.421882568125565e-05,0.0001426963390730382,None,2005
Cote D'Ivoire,CIV,Trypanosomosis (tsetse-transmitted) (-2021),2005,40.0,40.0,23.122833669134813,64.51520650735779,2.3222384520887376e-05,1.3424183366929243e-05,3.7454923323957945e-05,None,2005
Cameroon,CMR,Anthrax,2005,25.0,25.0,14.429277114917015,43.0851068215989,3.753753753753754e-06,2.1665581253629153e-06,6.469235258498333e-06,None,2005
Cameroon,CMR,Bovine babesiosis,2005,3.0,3.0,0.745986221515698,7.776443098857673,9.009009009009009e-07,2.2401988634105046e-07,2.335268197855157e-06,None,2005
Cameroon,CMR,Bovine tuberculosis (-2018),2005,107.0,107.0,77.32552390207906,149.336260537094,1.6066066066066068e-05,1.1610439024336195e-05,2.2422861942506606e-05,None,2005
Cameroon,CMR,Brucella abortus (Inf. with),2005,11.0,11.0,4.249169817355532,22.827257488483227,1.6516516516516515e-06,6.380134860894191e-07,3.427516139411896e-06,None,2005
Cameroon,CMR,Dermatophilosis (-2005),2005,84.0,84.0,58.41192806106305,117.2479809011907,1.2612612612612613e-05,8.770559768928385e-06,1.7604801937115722e-05,None,2005
Cameroon,CMR,Foot and mouth disease virus (Inf. with),2005,3863.0,3863.0,3474.1652362383047,4290.206251896544,0.00058003003003003,0.0005216464318676134,0.000644175112897379,None,2005
