Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Europe,Hungary,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Avian infectious bronchitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Avian infectious laryngotracheitis,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Duck virus enteritis (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Fowl cholera (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Fowl pox (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Fowl typhoid,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Marek's disease (-2011),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,India,Pullorum disease,Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Indonesia,High pathogenicity avian influenza viruses (poultry) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Indonesia,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Iran,Fowl cholera (-2011),Domestic,Birds,-,400000
2005,Jul-Dec 2005,Asia,Iran,Marek's disease (-2011),Domestic,Birds,-,19000000
2005,Jul-Dec 2005,Asia,Iran,Avian infectious laryngotracheitis,Domestic,Birds,-,26000000
2005,Jul-Dec 2005,Asia,Iran,Fowl pox (-2005),Domestic,Birds,-,37000000
2005,Jul-Dec 2005,Asia,Iran,Avian infectious bronchitis,Domestic,Birds,-,500000000
2005,Jul-Dec 2005,Asia,Iran,Newcastle disease virus (Inf. with),Domestic,Birds,-,847000000
2005,Jul-Dec 2005,Asia,Iran,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,973000000
2005,Jul-Dec 2005,Asia,Iran,Duck virus enteritis (-2005),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Iraq,Newcastle disease virus (Inf. with),Domestic,Birds,-,2350200
